experiment_name,output_dir,parsed_block_size,epoch,split,loss,perplexity,bpc
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,2,train,2.2553401629130048,9.538537415026296,3.253768068552299
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,2,val,2.1549825820197213,8.627739899856552,3.108982684281946
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,3,train,1.989811642964681,7.314155959821791,2.870691389608266
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,3,val,1.9865122466659917,7.290063427981079,2.8659313669302193
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,4,train,1.8184463580449421,6.162277036625253,2.6234635428740343
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,4,val,1.879084523753946,6.547508029559153,2.7109459238310176
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,5,train,1.6980504274368287,5.4632859301034475,2.4497689308424975
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,5,val,1.7967254044785685,6.029869715656515,2.592126830880448
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,6,train,1.605989933013916,4.9827897901741105,2.316953712076775
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,6,val,1.7427995271150534,5.71331563695937,2.5143282350325182
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,7,train,1.5412639141082765,4.6704896398033515,2.223573805585124
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,7,val,1.6949792875527057,5.446533153013625,2.4453382125617966
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,8,train,1.4938764095306396,4.4543288986004965,2.155208087730864
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,8,val,1.660378874900787,5.261303842845992,2.395420368816162
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,9,train,1.454724383354187,4.2833027533597345,2.098723653725341
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,9,val,1.6345060972073633,5.126925168934639,2.358093840743837
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,10,train,1.425626564025879,4.160463823226549,2.056744374079708
tiny_shakespeare_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_mamba2_random_windows_block_size_512,512,10,val,1.6082486701414505,4.994057322878625,2.320212380929341
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,1,train,3.0303567091623944,20.70461679881963,4.3718805964331855
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,1,val,2.470222017086697,11.825071928249141,3.56377705394571
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,2,train,2.2554883480072023,9.539950988824344,3.2539818544528316
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,2,val,2.146682478325423,8.556425133434375,3.0970081658433175
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,3,train,1.9829564332962035,7.264187355483869,2.8608014126152996
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,3,val,1.9771784357037578,7.222335923604129,2.8524655241424095
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,4,train,1.7996663173039755,6.047629138495967,2.596369671229349
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,4,val,1.8667116145745237,6.46699542207743,2.6930955891164956
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,5,train,1.6715924421946207,5.320633856392188,2.4115981267416506
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,5,val,1.783222233478088,5.948994617777463,2.572645873041779
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,6,train,1.5740027189254762,4.825926412374486,2.2708059169395294
