experiment_name,output_dir,parsed_block_size,parsed_stride,epoch,split,loss,perplexity,bpc
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,5,train,1.6715924580891928,5.320633940961387,2.411598149672671
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,5,val,1.7832222287060924,5.948994589388887,2.5726458661572447
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,6,train,1.574002726872762,4.825926450727503,2.2708059284050397
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,6,val,1.7208843814756727,5.589469502359457,2.482711363098224
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,7,train,1.5059086561203003,4.508248217055355,2.172566950216521
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,7,val,1.6678112335264448,5.300553417623839,2.4061429957475067
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,8,train,1.4511716842651368,4.2681124668055785,2.0935981923677973
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,8,val,1.6271447683546494,5.0893227584210186,2.347473688113674
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,9,train,1.4084851503372193,4.089755344673141,2.0320145415572526
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,9,val,1.5992456513639597,4.949297520028626,2.3072237703860248
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,10,train,1.3757099787394205,3.9578857403599628,1.9847299640288232
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_4,1024,4,10,val,1.5750964219288242,4.831207429991627,2.272383796838665
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,1,train,3.031184991200765,20.721773165199654,4.3730755548224005
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,1,val,2.4729593721748264,11.857485692811107,3.5677262225565065
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,2,train,2.2572471618652346,9.556744751050115,3.256519286483661
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,2,val,2.1473519990470846,8.562155755535612,3.0979740800682314
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,3,train,1.98313250541687,7.265466488963035,2.861055430990624
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,3,val,1.9764084266034523,7.216776799780131,2.8513546358319597
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,4,train,1.7993751366933186,6.045868442503101,2.5959495864063515
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,4,val,1.866498648095603,6.46561831547717,2.692788343433481
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,5,train,1.6714156945546468,5.319693530017587,2.4113431337979714
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,5,val,1.7833669747232446,5.949855744984679,2.5728546905183785
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,6,train,1.5739617347717285,4.825728629917427,2.270746789304163
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,6,val,1.7206500033705099,5.588159606600069,2.482373226968213
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,7,train,1.5056355317433676,4.507017072705434,2.172172915032374
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,7,val,1.6675021914534203,5.2989155767013925,2.4056971422813285
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,8,train,1.4511765400568644,4.268133191921105,2.0936051977944423
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,8,val,1.6272206442368795,5.089708929925634,2.3475831538726903
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,9,train,1.409205190340678,4.092701192562552,2.033053339699484
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,9,val,1.5997499114307554,4.951793882481718,2.307951263883709
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,10,train,1.3765820264816284,3.9613387110425817,1.985988062981925
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024_stride_8,1024,8,10,val,1.5754530140154912,4.832930507529858,2.2728982504737196
